Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 5.087774276733398, acc 0.002393906420021763
epoch 100, loss 3.369006395339966, acc 0.45941240478781287
epoch 200, loss 2.298771381378174, acc 0.45984766050054404
epoch 300, loss 2.261223554611206, acc 0.4613710554951034
epoch 400, loss 2.2427420616149902, acc 0.46289445048966266
epoch 500, loss 2.2303619384765625, acc 0.4646354733405876
epoch 600, loss 2.2210190296173096, acc 0.46528835690968445
epoch 700, loss 2.2135162353515625, acc 0.4661588683351469
epoch 800, loss 2.207261323928833, acc 0.46659412404787814
epoch 900, loss 2.201930046081543, acc 0.4670293797606094
epoch 1000, loss 2.1973135471343994, acc 0.46681175190424373
epoch 1100, loss 2.1932787895202637, acc 0.46681175190424373
epoch 1200, loss 2.1897268295288086, acc 0.46724700761697496
epoch 1300, loss 2.1865859031677246, acc 0.46724700761697496
epoch 1400, loss 2.1837897300720215, acc 0.4681175190424374
epoch 1500, loss 2.1812875270843506, acc 0.4681175190424374
epoch 1600, loss 2.1790359020233154, acc 0.4689880304678999
epoch 1700, loss 2.176999092102051, acc 0.4694232861806311
epoch 1800, loss 2.175149917602539, acc 0.4694232861806311
epoch 1900, loss 2.1734588146209717, acc 0.46964091403699676
epoch 2000, loss 2.1719086170196533, acc 0.4694232861806311
epoch 2100, loss 2.1704819202423096, acc 0.4694232861806311
epoch 2200, loss 2.1691627502441406, acc 0.4694232861806311
epoch 2300, loss 2.1679391860961914, acc 0.46964091403699676
epoch 2400, loss 2.1668033599853516, acc 0.4694232861806311
epoch 2500, loss 2.165741443634033, acc 0.46964091403699676
epoch 2600, loss 2.164748430252075, acc 0.46985854189336235
epoch 2700, loss 2.1638171672821045, acc 0.46985854189336235
epoch 2800, loss 2.1629416942596436, acc 0.4702937976060936
epoch 2900, loss 2.162116527557373, acc 0.47094668117519045
epoch 3000, loss 2.1613376140594482, acc 0.47116430903155604
epoch 3100, loss 2.1606011390686035, acc 0.4713819368879216
epoch 3200, loss 2.1599035263061523, acc 0.47116430903155604
epoch 3300, loss 2.1592416763305664, acc 0.47116430903155604
epoch 3400, loss 2.1586132049560547, acc 0.47094668117519045
epoch 3500, loss 2.158017873764038, acc 0.47116430903155604
epoch 3600, loss 2.1574485301971436, acc 0.4713819368879216
epoch 3700, loss 2.1568994522094727, acc 0.47116430903155604
epoch 3800, loss 2.1563687324523926, acc 0.47116430903155604
epoch 3900, loss 2.155904769897461, acc 0.47116430903155604
epoch 4000, loss 2.1553826332092285, acc 0.47094668117519045
epoch 4100, loss 2.1549549102783203, acc 0.4713819368879216
epoch 4200, loss 2.1544902324676514, acc 0.47116430903155604
epoch 4300, loss 2.1540727615356445, acc 0.47094668117519045
epoch 4400, loss 2.153675079345703, acc 0.4707290533188248
epoch 4500, loss 2.1532931327819824, acc 0.47116430903155604
epoch 4600, loss 2.1529269218444824, acc 0.47159956474428727
epoch 4700, loss 2.1525747776031494, acc 0.4722524483133841
epoch 4800, loss 2.1522257328033447, acc 0.4722524483133841
epoch 4900, loss 2.0378379821777344, acc 0.5122959738846572
epoch 5000, loss 2.0271191596984863, acc 0.5131664853101197
epoch 5100, loss 2.023052930831909, acc 0.5127312295973885
epoch 5200, loss 2.0207746028900146, acc 0.5127312295973885
epoch 5300, loss 2.0192477703094482, acc 0.5127312295973885
epoch 5400, loss 2.018143653869629, acc 0.5125136017410229
epoch 5500, loss 2.017275333404541, acc 0.5125136017410229
epoch 5600, loss 2.0165655612945557, acc 0.5127312295973885
epoch 5700, loss 2.01596999168396, acc 0.5129488574537541
epoch 5800, loss 2.015451192855835, acc 0.5131664853101197
epoch 5900, loss 2.0149970054626465, acc 0.5131664853101197
epoch 6000, loss 2.01458740234375, acc 0.5136017410228509
epoch 6100, loss 2.0142147541046143, acc 0.5142546245919478
epoch 6200, loss 2.0138697624206543, acc 0.5144722524483134
epoch 6300, loss 2.0135505199432373, acc 0.514689880304679
epoch 6400, loss 2.013251781463623, acc 0.5149075081610446
epoch 6500, loss 2.0129714012145996, acc 0.5151251360174103
epoch 6600, loss 2.012705087661743, acc 0.5155603917301415
epoch 6700, loss 2.0124526023864746, acc 0.515778019586507
epoch 6800, loss 2.0122976303100586, acc 0.5153427638737759
epoch 6900, loss 2.011979341506958, acc 0.5153427638737759
epoch 7000, loss 2.0118472576141357, acc 0.5153427638737759
epoch 7100, loss 2.0115408897399902, acc 0.5153427638737759
epoch 7200, loss 2.0113556385040283, acc 0.5155603917301415
epoch 7300, loss 2.0111310482025146, acc 0.5153427638737759
epoch 7400, loss 2.0109379291534424, acc 0.5155603917301415
epoch 7500, loss 2.0107524394989014, acc 0.5155603917301415
epoch 7600, loss 2.0105738639831543, acc 0.5155603917301415
epoch 7700, loss 2.0104026794433594, acc 0.5155603917301415
epoch 7800, loss 2.0102405548095703, acc 0.515778019586507
epoch 7900, loss 2.0100836753845215, acc 0.5159956474428727
epoch 8000, loss 2.009932518005371, acc 0.515778019586507
epoch 8100, loss 2.0097899436950684, acc 0.5155603917301415
epoch 8200, loss 2.0096428394317627, acc 0.5155603917301415
epoch 8300, loss 2.009507894515991, acc 0.515778019586507
epoch 8400, loss 2.0093801021575928, acc 0.515778019586507
epoch 8500, loss 2.0093095302581787, acc 0.5164309031556039
epoch 8600, loss 2.0091607570648193, acc 0.5164309031556039
epoch 8700, loss 2.0090086460113525, acc 0.5164309031556039
epoch 8800, loss 2.0088939666748047, acc 0.5164309031556039
epoch 8900, loss 2.008786916732788, acc 0.5162132752992383
epoch 9000, loss 2.0086755752563477, acc 0.5164309031556039
epoch 9100, loss 2.0085771083831787, acc 0.5168661588683352
epoch 9200, loss 2.008486747741699, acc 0.5166485310119695
epoch 9300, loss 2.0084280967712402, acc 0.5168661588683352
epoch 9400, loss 2.00828218460083, acc 0.5170837867247008
epoch 9500, loss 2.008186101913452, acc 0.5168661588683352
epoch 9600, loss 2.0080952644348145, acc 0.5168661588683352
epoch 9700, loss 2.0080084800720215, acc 0.5168661588683352
epoch 9800, loss 2.0079221725463867, acc 0.5168661588683352
epoch 9900, loss 2.007838249206543, acc 0.5173014145810664
testing...
final test: 0.5031549173194082, std 0.0
